ITEM;CEST;NCM/SH;DESCRIÇÃO
10;0100100;38151210;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
10;0100100;38151290;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
20;0100200;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
30;0100300;39181000;Protetores de caçamba
40;0100400;39233000;Reservatórios de óleo
50;0100500;39263000;Frisos, decalques, molduras e acabamentos
60;0100600;40103;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
60;0100600;59100000;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
70;0100700;40169300;Juntas, gaxetas e outros elementos com função semelhante de vedação
70;0100700;4823909;Juntas, gaxetas e outros elementos com função semelhante de vedação
80;0100800;40161010;Partes de veículos automóveis, tratores e máquinas autopropulsadas
90;0100900;40169990;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
90;0100900;57050000;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
100;0101000;59039000;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico
110;0101100;59090000;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias
120;0101200;63061;Encerados e toldos
130;0101300;65061000;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores
140;0101400;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias
150;0101500;70071100;Vidros de dimensões e formatos que permitam aplicação automotiva
150;0101500;70072100;Vidros de dimensões e formatos que permitam aplicação automotiva
160;0101600;70091000;Espelhos retrovisores
170;0101700;70140000;Lentes de faróis, lanternas e outros utensílios
180;0101800;73110000;Cilindro de aço para GNV (gás natural veicular)
190;0101900;73110000;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 180
200;0102000;7320;Molas e folhas de molas, de ferro ou aço
210;0102100;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 73259100
220;0102200;780600;Peso de chumbo para balanceamento de roda
230;0102300;80070090;Peso para balanceamento de roda e outros utensílios de estanho
240;0102400;830120;Fechaduras e partes de fechaduras
240;0102400;830160;Fechaduras e partes de fechaduras
250;0102500;830170;Chaves apresentadas isoladamente
